name	bytes_hex	sha256
null	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a4e	c251941577ab73e34bf946561f9c11708ce03c301ec36bac5e74366185f3f5f4
integer	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a69000000030000000180000000800000014100000000	f17a98a2f1649f4ff3d3cb1376b23d9e3ffee6900cec7d2b76def262765f6514
doubles	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a6400000007660000000000000000668000000000000000616e706d66400921fb54442d184100000000	4fc03a0b0fceb8c964b9a407b668c6e8c6df57422d9d45d2ff6becf2d76eba4b
utf8	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a63000000033100000005636166c3a93100000002c3a9304100000000	ccc34ae1faa753d29f3ff8dcc35804397818addde8125cf889664292d513ca31
factor	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a690000000300000002000000018000000041000000023100000005636c61737363000000013100000006666163746f72410000000031000000066c6576656c7363000000023100000001613100000001624100000000	0846b1cf9fb3239f050478850b49068f06a80bed916b3fdd40dc2b7a0098cbc0
ordered	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a6900000002000000010000000241000000023100000005636c617373630000000231000000076f7264657265643100000006666163746f72410000000031000000066c6576656c73630000000231000000036c6f773100000004686967684100000000	a33fcbd2d0981abc404308577666023f447256fd35b88ca6e075c395f09413b5
matrix	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a6400000004663ff00000000000006640000000000000006640080000000000006640100000000000004100000002310000000364696d690000000200000002000000024100000000310000000864696d6e616d657376000000026300000002310000000272313100000002723241000000004e4100000000	2ac248c7bbdf877029c779043cebabb6ed0841cf27a14fe5ec9d7af504e2bbfb
sparse	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a76000000076300000001310000000d7370617273655f6d6174726978410000000069000000020000000200000002410000000076000000026300000002310000000272313100000002723241000000006300000002310000000263313100000002633241000000004100000000690000000300000002000000010000000241000000006900000003000000010000000200000002410000000063000000013100000006646f75626c6541000000006400000003664008000000000000668000000000000000614100000000410000000131000000056e616d65736300000007310000000f2e63616e6f6e6963616c5f74797065310000000a64696d656e73696f6e73310000000864696d6e616d657331000000016931000000016a310000000a76616c75655f747970653100000001784100000000	0fbf26fd85e11162ad49c118f89121274f3aac7f2639e698e4c23178897fe76d
sequence	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a760000000263000000013100000001624100000000630000000131000000016141000000004100000000	d647901beb895f2478461ae624cd9e2dc87e1a2a8a49ade9fd47322b1796e0a9
record	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a760000000276000000026c000000010141000000004e410000000131000000056e616d6573630000000231000000016131000000017a41000000006900000001000000024100000000410000000131000000056e616d657363000000023100000005616c7068613100000004626574614100000000	32b40f8acf6d9a92843351d2659623c4fc91f3715ffee6d2fecbcfde700dbe23
missing_field	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a76000000016900000001000000014100000000410000000131000000056e616d657363000000013100000005616c7068614100000000	a85cc79ab64874f6f5b5c3497fdf98649856512ac71ae815af9c47a369371cc7
null_field	6f72672e666d7269646174617365742e722d63616e6f6e6963616c2f76310a760000000269000000010000000141000000004e410000000131000000056e616d657363000000023100000005616c7068613100000004626574614100000000	ade4781e853010ff58811713448b6d7835153e2d31e6d4c852d65bdbf6a1b79c
